Exchange,Symbol,Shortname
NMS,ABMD,"ABIOMED, Inc."
NYQ,LUMN,"Lumen Technologies, Inc."
BTS,CBOE,"Cboe Global Markets, Inc."
NYQ,SNA,Snap-On Incorporated
NYQ,TAP,Molson Coors Beverage Company
NMS,HSIC,"Henry Schein, Inc."
NYQ,AAP,Advance Auto Parts Inc.
NYQ,PHM,"PulteGroup, Inc."
NMS,REG,Regency Centers Corporation
NYQ,RE,"Everest Re Group, Ltd."
NYQ,NRG,"NRG Energy, Inc."
NMS,DISH,DISH Network Corporation
NMS,CZR,"Caesars Entertainment, Inc."
NMS,MKTX,"MarketAxess Holdings, Inc."
NMS,AAL,"American Airlines Group, Inc."
NYQ,CMA,Comerica Incorporated
NYQ,AIZ,"Assurant, Inc."
NYQ,WHR,Whirlpool Corporation
NMS,NWS,News Corporation
NMS,NWSA,News Corporation
NMS,ETSY,"Etsy, Inc."
NYQ,LNC,Lincoln National Corporation
NYQ,RHI,Robert Half International Inc.
NMS,FFIV,"F5, Inc."
NYQ,ALLE,Allegion plc
NYQ,LW,"Lamb Weston Holdings, Inc."
NYQ,JNPR,"Juniper Networks, Inc."
NYQ,GL,Globe Life Inc.
NYQ,UHS,"Universal Health Services, Inc."
NYQ,DVA,DaVita Inc.
NYQ,BBWI,"Bath & Body Works, Inc."
NYQ,AOS,A.O. Smith Corporation
NYQ,FBHS,"Fortune Brands Home & Security,"
NYQ,TPR,"Tapestry, Inc."
NYQ,OGN,Organon & Co.
NYQ,MHK,"Mohawk Industries, Inc."
NYQ,BWA,BorgWarner Inc.
NYQ,SEE,Sealed Air Corporation
NYQ,NLSN,Nielsen N.V.
NYQ,DXC,DXC Technology Company
NMS,NWL,Newell Brands Inc.
NMS,ZION,Zions Bancorporation N.A.
NMS,XRAY,DENTSPLY SIRONA Inc.
NYQ,IVZ,Invesco Ltd
NYQ,FRT,Federal Realty Investment Trust
NYQ,PNW,Pinnacle West Capital Corporati
NYQ,HII,"Huntington Ingalls Industries, "
NYQ,CDAY,Ceridian HCM Holding Inc.
NYQ,PNR,Pentair plc.
NYQ,RL,Ralph Lauren Corporation
NMS,WYNN,"Wynn Resorts, Limited"
NYQ,NCLH,Norwegian Cruise Line Holdings 
NYQ,VNO,Vornado Realty Trust
NYQ,ALK,"Alaska Air Group, Inc."
NMS,PENN,"Penn National Gaming, Inc."
NMS,IPGP,IPG Photonics Corporation
NYQ,UA,"Under Armour, Inc."
NYQ,PVH,PVH Corp.
NYQ,UAA,"Under Armour, Inc."
